safari-50,safari-100,safari-250,safari-500,safari-1000,safari-1500,safari-2000
82,159,314,618,1170,646,798
50,76,137,252,573,637,751
32,77.00000000000001,110,192,416,597,864
20,44,137,234,384,596,789
19,40,119,232,383,608,759
19,112,122,216,372,629,782
19,77,121,205,454,563.0000000000001,766
68,85,124,220,407,588,759
28,43.00000000000001,106,388,422,629,855
24,85,116,246,413,618,842
19,77.00000000000001,119,200,400,607,781
18,37,118,197.00000000000003,395,587,826
21,51,118,203,403,540,847
23,38,118,246,419,562.0000000000001,808.0000000000001
19,43,112,219,481,572,881
20,47,108.00000000000001,203,420,609,814.0000000000001
41.00000000000001,92,111,245,515,589,803.0000000000001
20,51,150,199,453,587,781
18,44,122,205,397,641,867
19,88,108,223.00000000000003,372,629,770
42.000000000000014,83,124,203,378,572,814.0000000000001
22,44,123,224,377,617,776
30,56,123,201,412,632,875
31,64,121,248,388,566,809.0000000000001
30,60,131,206,426,649,863
