safari-50,safari-100,safari-250,safari-500,safari-1000,safari-1500,safari-2000
232,244,585,954,2704,2653,3322
201,214,520,1036.0000000000002,1967,2543,3277
196,287,614,977.0000000000001,1878,2539,3319
221,261,569,931.0000000000001,1721,2597,3397
244,230,632,1082,1754.0000000000002,2596,3257
156,257,562,966.0000000000001,1884.0000000000002,2515,3473
267.00000000000006,273,567,1012,1800,2560,3302
162,242,632,1015,1754.0000000000002,2525,3474
159,263,608,944.0000000000001,1795,2732,3273
149,249,461,1039,1974,2680,3369
146,260,533,1006,1723,2775,3609
182,306,828,969,1980,2812,4557
188,297,543,1015,1831,2660,3485
305,339,555.0000000000001,943.0000000000001,1852,2840,3473
165,305,563,977,1885,2831,3451
