safari-50,safari-100,safari-250,safari-500,safari-1000,safari-1500,safari-2000
229,253,560.0000000000001,920,1775,2531,3282
198,275.00000000000006,622,1220,1830,2630.0000000000005,3379
170,378,572,948,1827,2600,3363
270,272,598,898,1892,2522,3276
204,311,594,1121,1865,2613,3351
275,317,552.0000000000001,1022,1750,2616,3274
159,287,509,1017,1795,2811,3328
203,339.00000000000006,564,1087,1812,2561,3336
216,262,495,1054,1785,2664,3389
116,343,545,969,1861,2555,3253
170,229,557.0000000000001,988.0000000000001,1829,2593,3387
235,251,562,1051,1784,2470,3388
210,259,536,987.0000000000001,1873.0000000000002,2689,3340
279,304,535,901.0000000000001,1786,2559,3436.0000000000005
134,283,509,1027,1805,2607,3372
