safari-50,safari-100,safari-250,safari-500,safari-1000,safari-1500,safari-2000
74,125,177,351,628,736,1059
81.00000000000001,106,136,337.00000000000006,631,786,1107
78,110,243,375,688.0000000000001,806.0000000000001,990
165.00000000000003,115,151,328,624,797,1028
29,178,227.00000000000003,348,660,796,1152
50,123,203,381,582,891,1045
77,90.00000000000001,211,387,612,846,1073
117,57,230,407,637,875,1062
28,120.00000000000003,212,356,618,860,1144
26.000000000000007,146,139,392,673,746,1096
30,93.00000000000001,233,307,664,809.0000000000001,1125
61,112,210,285,614,754,1048
45,54.99999999999999,170,393,613,815.0000000000001,1138.0000000000002
78,96,148,374,597,780,1007
43,84,139,295,571,765,1167
