safari-50,safari-100,safari-250,safari-500,safari-1000,safari-1500,safari-2000
248,330.00000000000006,535,975,1675,2542,3217
192.00000000000003,257,546,1060,1713,2748.0000000000005,3315
235,325,454,921,1800,2596,3293
297,308,528,990.0000000000001,1854,2572,3405
267,313,520,998.0000000000001,1721,2551,3459
223.00000000000003,315,592,1087,1754.0000000000002,2590,3321
229,305,553.0000000000001,1112,1831,2570,3364
212,317,529,998.0000000000001,1882.0000000000002,3017,3449
227,277,501,885,1785,2559,3219
262,308,550.0000000000001,960,1839,2648,3366
312,340,640,1042,1787,2692,3396
283,326,630,979,1887.0000000000002,2634,3334
291,228,569,1035,1852,2537,3299
283,265,492,1004,1906,2600,3262
243,314,537.0000000000001,1019,1851,2587,3525
