safari-50,safari-100,safari-250,safari-500,safari-1000,safari-1500,safari-2000
211,212,566,899,1819,2460,3157.0000000000005
232,216,519,992.0000000000001,1842,2428,3374
228,428,610,905,1747,2711,3272
177,302,521,1062,1707,2508.0000000000005,3263.0000000000005
218,321,495,1011,1743,2542,3343
154,322,482,906,1695,2505,3118
203,309,520,996.0000000000001,1751,2503,3501
138,216,552.0000000000001,977.0000000000001,1764,2560,3314.0000000000005
143,237,553.0000000000001,953,1816,2631.0000000000005,3195
212,345,484,993.0000000000001,1770,2548,3396
157,314,579,1063,1723,2397,3101
229,365,574,1070,1725,2653,3239
156,259,594,995,1776,2464,3282
202,292,525,1064,1826,2917,3240
167,244,605,850,1787,2514,3225
