safari-50,safari-100,safari-250,safari-500,safari-1000,safari-1500,safari-2000
282,311,586,980,1912,2606,3664
273,295,585,1008,1793,2508,3475
245,311,511,1113.0000000000002,1897,2816,3356
251,261,566,959,1939.0000000000002,2460,3445
309,216,623,1040,1934,2641.0000000000005,3404
231,256,477,913.0000000000001,1852,2606,3467
232,332.00000000000006,613,1005.0000000000001,1795,2644,3541.0000000000005
284,331.00000000000006,510,1040,1745,2629,3651
246,270,510,1007,2033,2645,3499.0000000000005
267,311,526,1368.0000000000002,2200,2965,3771
229,347,593,1193,2025.0000000000002,2810,3685.0000000000005
222,256,490,920,1796,2608,3399
249,259,510,1032,1828,2451,3325
255,336,492,1176,1858.0000000000002,2611,3311.0000000000005
271.00000000000006,317,553.0000000000001,1055,1868,2499,3541
