safari-50,safari-100,safari-250,safari-500,safari-1000,safari-1500,safari-2000
176,177,337.00000000000006,573,1146,1698,2248.0000000000005
176,125.00000000000003,326,598,1170,1851,2295
198,163,311,588,1214,1771.0000000000002,2273.0000000000005
141,144,340,633,1155,1710,2224
153,142,341,575,1095,1689,2195
138,154,359,609,1138.0000000000002,1638.0000000000002,2319
118.00000000000003,143,368,676.0000000000001,1178,1692,2244
132.00000000000003,147,318,578,1155,1712,2267
127,134,308,593,1150,1716,2244
168,137,333,601,1194,1633,2255.0000000000005
135,172,374,624,1192,1698,2330
155,151.00000000000003,293,620,1178,1809,2304
146.00000000000003,148,359,645,1230,1703,2361
130,226.00000000000003,351,602,1153,1938,2367
103,145,297,577,1181,1632.0000000000002,2387
113.00000000000003,151,344,627,1155,1667,2250.0000000000005
187.00000000000003,157,373,607,1136,1706,2311
94.00000000000001,119.00000000000006,302,627,1165,1641,2308
175,120,298,573,1185,1643,2239
174.00000000000003,133.00000000000003,352,658,1142,1680,2260
136,185,346,615,1209,1791,2290
133,187,302,588,1181,1718,2270
171,133,357,648,1194,1768,2327
109,155,297,583.0000000000001,1299,1765.0000000000002,2360
126,142,339,659,1144,1801,2289.0000000000005
