safari-1,safari-2,safari-4,safari-8,safari-16,safari-32,safari-64
108,197,188.00000000000003,210,231,289,362
129.00000000000003,128,197,196,140,278,326
132,195.00000000000003,96,222.00000000000003,218,182,318
113,143,213,156,141,262,323
114,110,126,171,118,224,322
151,115,135,121,125,184,332.00000000000006
86,104,107,115,153,202,320
38.00000000000001,175,152,107.00000000000001,214,266,307
121,180,114,159,159.00000000000003,147,305
107.00000000000001,107,104,147,140,196.00000000000003,334.00000000000006
192.00000000000003,159.00000000000003,100,199,229,161.00000000000003,219
128,191.00000000000003,178,210,129,252,317
119,174,113,131.00000000000003,229,222.00000000000003,247
180,183,142,122,220,263,331
138,124,108,146,249,181,246
124,215,142,107,208,211,327
130.00000000000003,101,114,207,204,183,350
135,99,138,114,229,180,281
222.00000000000003,137,186,194.00000000000003,195.00000000000003,238,348
134,197,208,148,257,206,238
132,118,189,128,135,273.00000000000006,293
206,110,148,207,227,212,280
86,99,148,218,169,261,340
110,104,62,187,231,262,261
126,130.00000000000003,108,135,110,181,282
210,133,103,115,138,225.00000000000003,348
114,199,145,141,150,145,335.00000000000006
123,102,189,157,162.00000000000003,256,296
117,133,125,213,208,294,276.00000000000006
34,188,109,129,231,266,308
119,134,139,152,154,209,344
109,106.00000000000001,116,95,146,287,346
129,135,120,164.00000000000003,148,215,333.00000000000006
85,28,135,134,238,270,287
106,82,197,149,193.00000000000003,261,278
124,128,210,155,153,248,269
132,196,194,213,228,245,257
123,111,152,94,147,197,329
125,113,177,126,247,171,272.00000000000006
135,92,92,204,177,197,335
128.00000000000003,131,108,103,172,263,281
110,127,131.00000000000003,166,233,256,234
140,133,123,205,147,214,238
95,102,116,122,208,243,335.00000000000006
134,119,190,210,164,251,291
189,113,130,206,222,270.00000000000006,293
116,192.00000000000003,184,187,221,203,314
195.00000000000003,123,143,156,232,207,349
127,131.00000000000003,117,128,230,174,334.00000000000006
126,100,127,117,139,273.00000000000006,340
35,131.00000000000003,193.00000000000003,256,127,137,331
122,145,142,100,147,180,345
139,126,172,200,139,200,316
115,128,133,112,144,240,331
175,182,111,201,225,186,316
105,116,189,180,163.00000000000003,243,283
128.00000000000003,30,96,120,216,255,303
183,98.00000000000001,205,159,139,285,292
122,125,140,209,166,267,251
125,194.00000000000003,182,111,220,270.00000000000006,277
136,137,136,150,232,207,352
115,86,222.00000000000003,144,145,175,327
112,88,81,214,210,188,339
138,109,96,96,149,243,328
103,126,121,120,133,277,362
120,112,144,183,173,225.00000000000003,251
181,110,109,132,147,261,360
92.00000000000001,117,129,116,226.00000000000003,213,304
118,143,183.00000000000003,119,168,243,252
125.00000000000003,38,143,145,203,193.00000000000003,339.00000000000006
116.00000000000003,217,184,129,232,204,316
132.00000000000003,138,200,126,148,281,283
137,98,203,123,213,197,252
127,90.00000000000001,151,137,146,251,279
27,107,115,197,212,297,299
