safari-1,safari-2,safari-4,safari-8,safari-16,safari-32,safari-64
12,11,88,216,203,196.00000000000003,312
13,14,78,120,147,262,227.00000000000003
71,15.000000000000004,122,30,151,168,352
12,13,100,117,224.00000000000003,234,336.00000000000006
11.999999999999996,15,87,127,112,164.00000000000003,309
12,14.999999999999998,92.00000000000001,33,194.00000000000003,189,329
13,13,85,106,126,164.00000000000003,260
8.000000000000004,14.999999999999996,16.000000000000004,27,118,268,326
9,75,17,131.00000000000003,231,171,336.00000000000006
10,15,101,131.00000000000003,235,142,232
13,16,20,113,202,184,344
13,16,23,86,125,238,226.00000000000003
12,14,29,108.00000000000001,116,169,245
11,14,18,32,124,158,357
10,13.999999999999998,20,104,150,164.00000000000003,236
20,15,17,122,129,270,329
12,11,111,118,199,235,325
11.999999999999998,12,105,28,145,273.00000000000006,348
10,13,32,103,118,242,346
13,16,96,172,227.00000000000003,178,233
16.000000000000004,14,107.00000000000001,167,128,177,242
9,13,21,114,205,183.00000000000003,236
11,13,107.00000000000001,132.00000000000003,203,180,334
9,92.00000000000001,19,102,217,144,258
13,15.000000000000004,30,129,206,189,233
9,14,60.000000000000014,98,122,159,255
13,21,21,91.00000000000001,121,165,334.00000000000006
13,110,52,119,173,154,347
11,11,100,36,198.00000000000003,249,331
13,14,127,120,202,245,334.00000000000006
12,15,20,124,151,263,345
11,17,21,105,212,239,238
11,14,21,114,121,165,235
11,15.000000000000004,19,126,224.00000000000003,178,239
12,11.999999999999998,20,29,230,243,343
10,13,123,121,214,186,323.00000000000006
12,15.000000000000004,18,60.000000000000014,231,268,275.00000000000006
10,11,16,97,116,249,327
9.999999999999998,12,16.000000000000004,111,218,191,227.00000000000003
12.999999999999998,16.000000000000004,90,33,213,270.00000000000006,332
11,10.999999999999998,20,130,158,257,324
12,18,89,102,221,282,240
12,14.000000000000004,20,31,158,195.00000000000003,338.00000000000006
11,87,24,102,127,259,226.00000000000003
10.999999999999998,11,18,34,124,204,347
92.00000000000001,14,84,98,160,268,269
12,15,17,29,118,169,241
12,14,21,125,102,266,334
11,16.000000000000004,17,148,156,183,276.00000000000006
9,14.000000000000004,115,123,211,172,345
69,13,21,102,155,178,311
11,13,72,107.00000000000001,119,158,318
18,15.000000000000004,18,30,139,266,240
12,16,113,131,153,255,263
12,13,34,117,108.00000000000001,169,246
13,13,76,37,149,151,226.00000000000003
10,21,81,119,210,238,337.00000000000006
12,11,17,109.00000000000001,159,156,232
13,16.000000000000004,18,125,133.00000000000003,166,334
12,14,22,96,209,252,247
12,15,21,49.00000000000001,130,242,318
14,15.000000000000004,43,86,121,142,228.00000000000003
108,14,18,117,126,240,332
11,11,101,103,219,246,345
13,15,20,118,124,148,269
11,13,87,123,151,249,229
11,13,17,106,214,151,218
11,78,19,28,142,161,328
10.999999999999998,12,20,114,197,252,225.00000000000003
10,14,115,103,110.00000000000001,243,243
13,13,20,115,208.00000000000003,252,335.00000000000006
9.000000000000002,11,83,136,158,198.00000000000003,341
10,13,20,97,136,244,329
12,15.000000000000004,99,141,143,156,250
11,13.999999999999998,19,108,194.00000000000003,248,284
