safari-1,safari-2,safari-4,safari-8,safari-16,safari-32,safari-64
12,13,108.00000000000001,113,117,269,331
13,15,18,140,222,267,339.00000000000006
12,16,130,131.00000000000003,227.00000000000003,284,349
11,13.999999999999998,21,124,113,172,262
12,15.000000000000004,71,126,138,272.00000000000006,338.00000000000006
10.999999999999998,13.999999999999998,22,33,220,256,323
91,19,21,141,217,258,337
11,19,71,112,210,164.00000000000003,286
12,16.000000000000004,109,27,203,251,237
10,13,24,129,143,155,327
12,12,116,29,120,169,318
11,17,21,28,124,232,316
12,13,17,116,210,263,267
12,13.999999999999998,16,110,151,247,310
16,14,19,107.00000000000001,186,171,216
12,14,65,133,141,271,341
12,17,29,133.00000000000003,203,252,342
19,15,23,126,151,159,227.00000000000003
9,20,90,134,113,148,261
10,81,20,37,138,237,303
12,14,81,34,147,233,315
12,13,21,28,157,263,333
11,15.000000000000004,22,133.00000000000003,106,144,219
8.000000000000004,12,19,35,107.00000000000001,141,316
11,12.999999999999996,15,130.00000000000003,221.00000000000003,146,239
13,23,19,83,208,227,325
11,13.999999999999998,16,103,112,167,232
11.999999999999998,19,18,51,215,264,265
13,16,122,132.00000000000003,170,202,236
12,19,23,48,145,255,263
10,15,95,95,214,159,327.00000000000006
11,14,19,28,210,177,335.00000000000006
13,10.999999999999998,20,28,199.00000000000003,168,287
12,25,22,91,97,158,247
12,15.000000000000004,118,30,216,177,350
12,95.00000000000001,30,35,124,186,267
10,11.999999999999998,19.000000000000007,108.00000000000001,196.00000000000003,256,335.00000000000006
12.000000000000004,15,79,135,214,157,332
10.999999999999998,12,87.00000000000001,125,203,261,337.00000000000006
9.000000000000002,13,16.000000000000004,102,216,262,346
10,12,19,31,128,170,328
11,15,20,26.000000000000007,171,216.00000000000003,249
12,14,21,119,110,202,312
13,15.000000000000004,17,125,229.00000000000003,153,321
12,16.000000000000004,18,26.000000000000007,107,242,341
13,15.999999999999998,16.000000000000004,105,117,161,329
9,94,18,101,206,248,268
10,15.000000000000004,109.00000000000001,37,110,236,328
14.000000000000004,15.999999999999998,90,35,220,184,323
10.999999999999998,20,18,102,212,252,256
11,14.000000000000004,81,129,206,250,307
11.999999999999998,14.999999999999996,74,40,186,175,319
11,15.000000000000004,17,105,126,247,259
10,20,20,120,204,160,291
11,14,20,28,113,262,322
11,12,89,33,193.00000000000003,241,243
10,43,86,31,123,257,336.00000000000006
10,63,17,120,114,231,337.00000000000006
11,14,57,115,120,156,231
11,14,16,108.00000000000001,111,188,321
9,12,17,27.000000000000007,121,283,373
16.000000000000004,78,89,100,151,167,248
12,16.000000000000004,23,28,229.00000000000003,148,252
10,19,47,122,228.00000000000003,155,236
10,13,20,99,205,242,229.00000000000003
